applicant_id,full_name,age,gender,marital_status,education_level,city,state,employment_type,years_employed,annual_income_inr,monthly_expenses_inr,loan_purpose,loan_amount_inr,loan_tenure_months,credit_score,debt_to_income_ratio,existing_loans,previous_defaults,property_ownership,has_collateral,collateral_value_inr,co_applicant,bank_account_age_years,num_credit_inquiries_6m,savings_balance_inr,risk_level,approval_status,interest_rate_pct,application_date,processing_branch,income_to_loan_ratio,savings_months_cover,age_group,application_month
LOAN100208,Priya Kapoor,60,Other,Married,Bachelor's,Lucknow,Uttar Pradesh,Self-Employed,19.7,787445,41640,Education Loan,814165,84,767,0.384,0,0,Rented,No,0,Yes,15.0,2,818734,low,Approved,11.08,2026-04-04,Ahmedabad,0.9672,19.66,51–64,2026-04
LOAN100209,Vikram Patel,63,Male,Single,PhD,Kolkata,West Bengal,Self-Employed,11.3,1073929,40312,Education Loan,1829234,36,556,0.713,5,1,Rented,No,0,Yes,22.1,4,309432,high,Rejected,0.0,2026-05-03,Bangalore,0.5871,7.68,51–64,2026-05
LOAN100210,Vivek Nair,63,Other,Widowed,Master's,Vadodara,Gujarat,Salaried,16.2,740070,24403,Gold Loan,258886,60,740,0.246,0,0,Rented,Yes,230104,Yes,15.1,1,1602796,low,Approved,10.93,2025-11-29,Delhi,2.8587,65.68,51–64,2025-11
LOAN100211,Shreya Rao,62,Other,Married,Master's,Mumbai,Maharashtra,Business Owner,5.1,1717128,87020,Personal Loan,533489,120,566,0.402,2,3,Rented,Yes,791566,No,1.8,4,656635,high,Rejected,0.0,2026-03-27,Kolkata,3.2187,7.55,51–64,2026-03
LOAN100212,Karan Reddy,49,Other,Widowed,High School,Lucknow,Uttar Pradesh,Freelancer,1.3,566624,16137,Car Loan,541139,36,676,0.518,4,0,Owned,No,0,Yes,4.4,1,76914,medium,Approved,13.57,2025-12-24,Delhi,1.0471,4.77,41–50,2025-12
LOAN100213,Priya Reddy,61,Male,Single,Diploma,Bangalore,Karnataka,Salaried,6.9,543519,26953,Car Loan,1225390,180,676,0.487,1,1,Rented,Yes,1177654,No,22.3,6,145072,medium,Under Review,0.0,2025-12-06,Kolkata,0.4435,5.38,51–64,2025-12
LOAN100214,Vivek Bose,39,Other,Married,Bachelor's,Delhi,Delhi,Salaried,12.4,588347,33840,Education Loan,220866,36,527,0.497,2,1,Rented,No,0,No,3.6,7,1230834,high,Rejected,0.0,2026-04-19,Ahmedabad,2.6638,36.37,31–40,2026-04
LOAN100215,Pooja Shah,35,Male,Married,PhD,Hyderabad,Telangana,Self-Employed,3.8,1048115,60096,Home Loan,4048982,180,550,0.606,5,1,Rented,No,0,Yes,10.6,5,1665683,high,Rejected,0.0,2026-03-10,Kolkata,0.2589,27.72,31–40,2026-03
LOAN100216,Meera Kapoor,37,Male,Single,Master's,Bangalore,Karnataka,Freelancer,14.9,667358,38488,Personal Loan,428337,12,652,0.542,4,1,Owned,No,0,No,18.5,0,1026021,medium,Approved,14.17,2026-01-16,Pune,1.558,26.66,31–40,2026-01
LOAN100217,Arjun Verma,46,Female,Divorced,Diploma,Surat,Gujarat,Freelancer,5.2,482728,22489,Gold Loan,157976,24,643,0.431,3,1,Owned,Yes,171345,Yes,12.3,1,458238,medium,Under Review,0.0,2025-11-05,Kolkata,3.0557,20.38,41–50,2025-11
LOAN100218,Amit Gupta,32,Female,Widowed,High School,Kolkata,West Bengal,Unemployed,0.0,79211,4252,Gold Loan,280139,12,820,0.442,2,0,Owned,Yes,395539,No,22.4,4,81751,low,Approved,10.31,2026-04-26,Ahmedabad,0.2828,19.23,31–40,2026-04
LOAN100219,Anil Reddy,35,Other,Single,PhD,Lucknow,Uttar Pradesh,Freelancer,4.5,191504,10822,Personal Loan,227985,240,737,0.301,2,0,Parental,No,0,Yes,3.2,2,216110,low,Approved,11.27,2025-11-27,Mumbai,0.84,19.97,31–40,2025-11
LOAN100220,Rahul Joshi,59,Other,Single,Master's,Surat,Gujarat,Business Owner,14.2,2239908,111053,Personal Loan,295246,36,460,0.692,5,1,Rented,Yes,278505,Yes,8.4,2,6045293,high,Rejected,0.0,2025-12-27,Pune,7.5866,54.44,51–64,2025-12
LOAN100221,Manoj Malhotra,34,Other,Divorced,Master's,Surat,Gujarat,Business Owner,9.3,1129847,51632,Home Loan,2035476,24,580,0.399,4,1,Owned,No,0,Yes,22.4,2,1582609,medium,Approved,14.89,2026-04-14,Pune,0.5551,30.65,31–40,2026-04
LOAN100222,Arjun Pillai,41,Other,Single,Bachelor's,Nagpur,Maharashtra,Self-Employed,5.9,509596,19815,Personal Loan,572974,24,651,0.294,5,0,Rented,No,0,No,9.0,3,692738,medium,Approved,12.95,2025-11-20,Mumbai,0.8894,34.96,41–50,2025-11
LOAN100223,Rahul Reddy,23,Female,Widowed,Master's,Rajkot,Gujarat,Business Owner,16.1,1554226,54609,Car Loan,711322,24,614,0.259,3,0,Rented,Yes,774049,No,4.7,1,1269836,medium,Under Review,0.0,2026-01-01,Hyderabad,2.185,23.25,21–30,2026-01
LOAN100224,Neha Iyer,35,Male,Married,Diploma,Delhi,Delhi,Business Owner,9.4,2745838,83405,Home Loan,2994704,36,722,0.224,2,0,Owned,Yes,2732825,Yes,24.8,7,4791073,low,Approved,11.18,2026-01-12,Ahmedabad,0.9169,57.44,31–40,2026-01
LOAN100225,Nikhil Malhotra,49,Male,Divorced,High School,Hyderabad,Telangana,Business Owner,1.2,982189,54689,Car Loan,605551,48,717,0.475,5,1,Company Provided,No,0,No,19.3,6,2795288,medium,Under Review,0.0,2026-02-12,Bangalore,1.622,51.11,41–50,2026-02
LOAN100226,Suresh Kapoor,23,Other,Married,PhD,Nagpur,Maharashtra,Salaried,7.0,626846,30893,Gold Loan,226231,240,680,0.64,4,1,Company Provided,Yes,334533,No,17.4,6,1384288,medium,Under Review,0.0,2026-04-24,Bangalore,2.7708,44.81,21–30,2026-04
LOAN100227,Rohan Reddy,37,Male,Married,PhD,Jaipur,Rajasthan,Unemployed,0.0,38521,1638,Home Loan,2262503,60,525,0.411,4,1,Parental,Yes,2516312,Yes,1.1,5,63109,high,Rejected,0.0,2026-01-10,Delhi,0.017,38.53,31–40,2026-01
LOAN100228,Lata Rao,22,Female,Married,Master's,Jaipur,Rajasthan,Unemployed,0.0,18043,673,Education Loan,569898,48,720,0.272,2,0,Parental,Yes,832268,Yes,7.5,7,19603,low,Approved,11.46,2026-01-10,Delhi,0.0317,29.13,21–30,2026-01
LOAN100229,Rekha Agarwal,38,Other,Widowed,Diploma,Kolkata,West Bengal,Self-Employed,8.6,682459,36068,Gold Loan,34299,180,603,0.734,2,2,Owned,No,0,Yes,5.6,6,989639,high,Rejected,0.0,2025-12-21,Hyderabad,19.8973,27.44,31–40,2025-12
LOAN100230,Sneha Malhotra,58,Female,Married,Diploma,Indore,Madhya Pradesh,Salaried,8.5,700010,21840,Business Loan,2104144,120,783,0.131,0,0,Company Provided,No,0,No,14.1,7,122212,low,Approved,9.49,2026-02-16,Ahmedabad,0.3327,5.6,51–64,2026-02
LOAN100231,Rajesh Chaudhary,61,Male,Divorced,Master's,Delhi,Delhi,Freelancer,15.9,556628,17243,Business Loan,4620389,180,772,0.179,0,0,Rented,No,0,Yes,3.4,3,483036,low,Approved,9.96,2026-04-17,Hyderabad,0.1205,28.01,51–64,2026-04
LOAN100232,Divya Pillai,40,Other,Single,Bachelor's,Lucknow,Uttar Pradesh,Unemployed,0.0,78933,2401,Education Loan,527739,120,720,0.597,1,1,Owned,Yes,724478,Yes,8.3,7,208464,medium,Rejected,0.0,2026-03-31,Hyderabad,0.1496,86.82,31–40,2026-03
LOAN100233,Rajesh Singh,22,Other,Married,Diploma,Hyderabad,Telangana,Self-Employed,12.9,259282,13091,Home Loan,3621998,60,659,0.394,1,0,Rented,No,0,No,21.9,0,645385,medium,Approved,13.29,2025-11-10,Ahmedabad,0.0716,49.3,21–30,2025-11
LOAN100234,Vivek Pillai,22,Female,Divorced,Master's,Rajkot,Gujarat,Business Owner,11.8,1441504,55833,Gold Loan,42285,84,754,0.134,1,0,Rented,No,0,Yes,5.8,6,2212679,low,Approved,10.09,2026-03-17,Delhi,34.0902,39.63,21–30,2026-03
LOAN100235,Divya Verma,35,Female,Divorced,Diploma,Ahmedabad,Gujarat,Freelancer,3.1,284446,13842,Education Loan,1794346,24,738,0.141,1,0,Owned,Yes,1826826,Yes,5.9,1,733189,low,Approved,10.45,2026-03-29,Chennai,0.1585,52.97,31–40,2026-03
LOAN100236,Aarav Chaudhary,26,Female,Single,Diploma,Nagpur,Maharashtra,Business Owner,2.0,1001958,28649,Car Loan,456851,48,610,0.459,1,2,Owned,Yes,401209,No,3.4,0,797946,high,Rejected,0.0,2026-04-18,Ahmedabad,2.1932,27.85,21–30,2026-04
LOAN100237,Sunita Rao,32,Male,Single,Diploma,Indore,Madhya Pradesh,Salaried,4.5,425985,22660,Home Loan,5018426,24,787,0.422,1,0,Parental,No,0,No,9.1,3,1095913,low,Approved,10.87,2025-11-29,Chennai,0.0849,48.36,31–40,2025-11
LOAN100238,Pooja Gupta,42,Other,Single,High School,Jaipur,Rajasthan,Unemployed,0.0,64138,3579,Business Loan,2366976,24,664,0.29,2,0,Company Provided,Yes,3079597,No,17.6,2,38234,medium,Under Review,0.0,2025-11-13,Delhi,0.0271,10.68,41–50,2025-11
LOAN100239,Priya Pillai,34,Male,Widowed,Bachelor's,Pune,Maharashtra,Self-Employed,10.5,288716,14000,Personal Loan,140199,120,698,0.42,3,1,Owned,Yes,124290,Yes,8.5,5,112998,medium,Approved,12.64,2026-02-21,Kolkata,2.0593,8.07,31–40,2026-02
LOAN100240,Suman Agarwal,39,Male,Single,Master's,Rajkot,Gujarat,Unemployed,0.0,47462,2672,Gold Loan,270608,60,720,0.525,4,0,Parental,Yes,271531,Yes,0.8,7,96764,medium,Approved,12.72,2025-11-13,Delhi,0.1754,36.21,31–40,2025-11
LOAN100241,Geeta Gupta,52,Male,Divorced,Diploma,Delhi,Delhi,Freelancer,2.2,633353,22982,Education Loan,1197407,240,643,0.513,3,1,Company Provided,Yes,1777310,Yes,6.2,1,825181,medium,Approved,14.21,2025-12-28,Ahmedabad,0.5289,35.91,51–64,2025-12
LOAN100242,Riya Shah,23,Female,Widowed,PhD,Vadodara,Gujarat,Unemployed,0.0,1668,57,Business Loan,4092946,60,680,0.553,4,1,Company Provided,No,0,Yes,3.5,2,2491,medium,Rejected,0.0,2026-03-06,Bangalore,0.0004,43.7,21–30,2026-03
LOAN100243,Sunita Reddy,35,Male,Divorced,PhD,Ahmedabad,Gujarat,Salaried,10.2,740114,33878,Home Loan,1969289,12,430,0.774,1,3,Owned,Yes,2102891,No,19.9,3,477890,high,Rejected,0.0,2025-11-16,Kolkata,0.3758,14.11,31–40,2025-11
LOAN100244,Ananya Agarwal,57,Male,Widowed,Master's,Surat,Gujarat,Freelancer,16.3,270580,9601,Business Loan,5784293,60,793,0.29,1,0,Company Provided,Yes,8484437,No,11.8,3,39758,low,Approved,10.09,2025-12-13,Ahmedabad,0.0468,4.14,51–64,2025-12
LOAN100245,Neha Malhotra,52,Other,Widowed,Master's,Kolkata,West Bengal,Self-Employed,14.5,729602,31914,Education Loan,1449591,120,649,0.304,1,1,Rented,Yes,1657444,Yes,10.1,1,1101216,medium,Under Review,0.0,2026-01-28,Hyderabad,0.5033,34.51,51–64,2026-01
LOAN100246,Rekha Kapoor,32,Male,Divorced,Master's,Rajkot,Gujarat,Business Owner,1.4,2340618,66110,Personal Loan,317667,12,711,0.11,2,0,Parental,No,0,No,10.6,4,506802,low,Approved,10.83,2026-03-03,Chennai,7.3681,7.67,31–40,2026-03
LOAN100247,Sneha Sharma,53,Other,Divorced,High School,Mumbai,Maharashtra,Self-Employed,18.3,692522,27952,Gold Loan,339319,60,742,0.307,2,0,Company Provided,Yes,298644,No,7.0,1,1456427,low,Approved,11.2,2025-12-05,Mumbai,2.0409,52.1,51–64,2025-12
LOAN100248,Sanjay Reddy,34,Male,Divorced,Bachelor's,Kolkata,West Bengal,Business Owner,2.4,2317979,132853,Education Loan,2290774,120,637,0.379,2,0,Rented,Yes,2371357,No,16.1,4,6776881,medium,Approved,13.65,2026-04-15,Chennai,1.0119,51.01,31–40,2026-04
LOAN100249,Geeta Singh,34,Other,Single,PhD,Vadodara,Gujarat,Business Owner,11.7,2650524,96023,Personal Loan,320752,12,739,0.204,2,0,Owned,No,0,No,11.0,0,2848209,low,Approved,10.74,2026-04-15,Ahmedabad,8.2635,29.66,31–40,2026-04
LOAN100250,Amit Nair,48,Other,Widowed,PhD,Hyderabad,Telangana,Unemployed,0.0,53009,1644,Personal Loan,102393,120,720,0.332,1,0,Owned,No,0,Yes,14.6,2,35951,low,Approved,11.76,2026-01-05,Ahmedabad,0.5177,21.87,41–50,2026-01
LOAN100251,Divya Bose,60,Male,Married,Diploma,Nagpur,Maharashtra,Unemployed,0.0,52538,2620,Business Loan,2288545,120,599,0.821,4,1,Parental,Yes,2667502,No,10.6,6,135944,high,Rejected,0.0,2026-04-18,Chennai,0.023,51.89,51–64,2026-04
LOAN100252,Meera Kumar,50,Male,Married,High School,Jaipur,Rajasthan,Freelancer,5.5,415970,13804,Personal Loan,179827,60,700,0.326,0,0,Parental,No,0,No,12.4,0,1237225,low,Approved,12.13,2026-01-16,Mumbai,2.3132,89.63,41–50,2026-01
LOAN100253,Ananya Chaudhary,32,Male,Single,High School,Vadodara,Gujarat,Self-Employed,5.5,676962,24007,Car Loan,1181826,60,670,0.305,1,0,Parental,Yes,1478471,Yes,22.6,7,846656,medium,Approved,12.62,2026-01-31,Delhi,0.5728,35.27,31–40,2026-01
LOAN100254,Vinod Kapoor,32,Other,Divorced,Master's,Surat,Gujarat,Freelancer,11.6,366810,19985,Gold Loan,170362,36,449,0.506,5,1,Rented,Yes,198534,Yes,19.4,0,357478,high,Rejected,0.0,2025-12-06,Pune,2.1531,17.89,31–40,2025-12
LOAN100255,Karan Kapoor,35,Male,Widowed,PhD,Chennai,Tamil Nadu,Self-Employed,3.9,920116,34495,Education Loan,1226647,48,606,0.465,4,3,Owned,No,0,No,13.9,4,1334922,high,Rejected,0.0,2026-03-02,Ahmedabad,0.7501,38.7,31–40,2026-03
LOAN100256,Ananya Patel,46,Other,Married,Bachelor's,Ahmedabad,Gujarat,Self-Employed,16.5,282478,12266,Personal Loan,592681,180,750,0.35,0,0,Parental,Yes,849703,No,22.6,0,585148,low,Approved,11.25,2025-12-19,Chennai,0.4766,47.7,41–50,2025-12
LOAN100257,Rohan Joshi,25,Female,Married,Diploma,Indore,Madhya Pradesh,Freelancer,8.2,243497,13521,Education Loan,1240057,12,746,0.418,0,0,Parental,No,0,No,19.8,0,209019,low,Approved,11.67,2026-04-14,Kolkata,0.1964,15.46,21–30,2026-04
LOAN100258,Vinod Gupta,63,Other,Divorced,PhD,Pune,Maharashtra,Freelancer,7.0,484028,13171,Gold Loan,284636,120,745,0.424,1,0,Company Provided,Yes,391137,No,11.6,1,63255,low,Approved,11.72,2026-04-21,Bangalore,1.7005,4.8,51–64,2026-04
LOAN100259,Rohan Kumar,59,Male,Married,PhD,Chennai,Tamil Nadu,Freelancer,4.4,348027,16978,Gold Loan,390046,36,404,0.401,3,2,Rented,No,0,No,19.9,6,345321,high,Rejected,0.0,2026-01-02,Bangalore,0.8923,20.34,51–64,2026-01
LOAN100260,Amit Mishra,28,Other,Married,High School,Pune,Maharashtra,Business Owner,4.4,2200474,124554,Car Loan,509476,84,488,0.76,2,1,Rented,No,0,Yes,24.4,0,1397048,high,Rejected,0.0,2025-11-06,Bangalore,4.3191,11.22,21–30,2025-11
LOAN100261,Vikram Kumar,58,Male,Widowed,Master's,Hyderabad,Telangana,Salaried,3.4,765414,40241,Education Loan,559176,120,575,0.67,5,3,Company Provided,No,0,Yes,6.0,5,496967,high,Rejected,0.0,2026-02-25,Ahmedabad,1.3688,12.35,51–64,2026-02
LOAN100262,Sunita Mehta,50,Female,Married,Master's,Bangalore,Karnataka,Freelancer,4.5,312759,16080,Education Loan,1721754,36,758,0.251,1,0,Owned,Yes,1718443,No,24.4,1,232906,low,Approved,10.59,2026-01-09,Chennai,0.1817,14.48,41–50,2026-01
LOAN100263,Manoj Mishra,60,Other,Married,Master's,Rajkot,Gujarat,Business Owner,9.6,2082833,101257,Business Loan,5278977,180,765,0.13,0,0,Parental,No,0,Yes,2.8,3,465136,low,Approved,9.85,2026-02-08,Chennai,0.3946,4.59,51–64,2026-02
LOAN100264,Amit Rao,51,Male,Single,PhD,Pune,Maharashtra,Freelancer,10.3,238817,7398,Personal Loan,487530,12,549,0.402,5,1,Rented,No,0,No,23.3,0,630428,high,Rejected,0.0,2026-04-01,Delhi,0.4899,85.22,51–64,2026-04
LOAN100265,Suman Nair,26,Other,Divorced,Master's,Hyderabad,Telangana,Business Owner,5.6,855823,29466,Gold Loan,273402,240,690,0.423,1,0,Parental,No,0,No,13.2,0,1142983,medium,Approved,12.81,2026-03-23,Hyderabad,3.1303,38.79,21–30,2026-03
LOAN100266,Ananya Joshi,31,Male,Single,Master's,Vadodara,Gujarat,Freelancer,13.3,696535,23455,Car Loan,1428641,240,649,0.591,4,1,Company Provided,No,0,No,3.3,4,1874213,medium,Under Review,0.0,2025-12-29,Mumbai,0.4876,79.91,31–40,2025-12
LOAN100267,Divya Singh,39,Male,Divorced,Diploma,Rajkot,Gujarat,Freelancer,10.1,577899,30531,Personal Loan,559121,240,512,0.618,2,2,Parental,Yes,505242,Yes,14.8,4,1685327,high,Rejected,0.0,2025-12-21,Bangalore,1.0336,55.2,31–40,2025-12
LOAN100268,Sunita Kumar,27,Female,Divorced,PhD,Indore,Madhya Pradesh,Freelancer,13.7,594863,33295,Home Loan,4331291,48,653,0.557,1,0,Owned,No,0,No,4.3,6,171996,medium,Under Review,0.0,2025-11-17,Kolkata,0.1373,5.17,21–30,2025-11
LOAN100269,Rahul Kapoor,35,Male,Married,High School,Ahmedabad,Gujarat,Freelancer,0.6,507708,26257,Gold Loan,255637,60,763,0.308,0,0,Parental,Yes,374668,No,20.1,2,1139403,low,Approved,10.78,2025-12-15,Pune,1.9861,43.39,31–40,2025-12
LOAN100270,Aarav Mehta,64,Male,Widowed,Master's,Rajkot,Gujarat,Salaried,19.3,594279,20501,Education Loan,1231995,60,504,0.48,2,3,Rented,No,0,Yes,7.8,2,1434141,high,Rejected,0.0,2026-02-14,Bangalore,0.4824,69.95,51–64,2026-02
LOAN100271,Amit Chaudhary,22,Female,Widowed,High School,Kolkata,West Bengal,Business Owner,10.5,1004266,50430,Gold Loan,267753,24,720,0.391,1,0,Parental,No,0,Yes,11.1,0,1312325,low,Approved,12.05,2026-04-24,Hyderabad,3.7507,26.02,21–30,2026-04
LOAN100272,Pooja Bose,49,Female,Single,Master's,Indore,Madhya Pradesh,Freelancer,14.4,377488,13217,Gold Loan,349433,48,580,0.509,2,0,Rented,Yes,407884,No,21.1,3,601384,medium,Approved,15.45,2026-02-18,Mumbai,1.0803,45.5,41–50,2026-02
LOAN100273,Priya Bose,35,Other,Divorced,Bachelor's,Surat,Gujarat,Unemployed,0.0,11919,399,Home Loan,4923054,12,610,0.631,4,3,Owned,No,0,Yes,3.3,2,23857,high,Rejected,0.0,2026-03-20,Bangalore,0.0024,59.79,31–40,2026-03
LOAN100274,Sunita Bose,31,Other,Divorced,Bachelor's,Hyderabad,Telangana,Freelancer,14.2,577739,33060,Home Loan,6784407,24,752,0.246,2,0,Rented,Yes,7588350,Yes,5.0,6,1302071,low,Approved,10.69,2025-12-01,Ahmedabad,0.0852,39.39,31–40,2025-12
LOAN100275,Riya Bose,39,Other,Widowed,PhD,Ahmedabad,Gujarat,Salaried,8.2,498577,24528,Education Loan,1302121,240,771,0.106,1,0,Parental,No,0,No,17.4,5,1441519,low,Approved,9.61,2025-11-13,Pune,0.3829,58.77,31–40,2025-11
LOAN100276,Arjun Sharma,48,Male,Widowed,Diploma,Rajkot,Gujarat,Business Owner,4.2,1766092,82402,Home Loan,3169047,36,730,0.147,2,0,Company Provided,No,0,Yes,2.6,7,4098529,low,Approved,10.63,2026-03-28,Kolkata,0.5573,49.74,41–50,2026-03
LOAN100277,Nikhil Kapoor,38,Male,Married,Bachelor's,Nagpur,Maharashtra,Freelancer,3.5,341880,15036,Home Loan,5467169,24,615,0.316,2,0,Company Provided,Yes,4448851,Yes,8.7,4,120634,medium,Approved,13.78,2026-01-14,Pune,0.0625,8.02,31–40,2026-01
LOAN100278,Sunita Chaudhary,30,Male,Single,PhD,Pune,Maharashtra,Freelancer,1.2,395045,10126,Gold Loan,75097,240,776,0.45,2,0,Parental,Yes,92222,Yes,7.1,4,775270,low,Under Review,0.0,2026-01-03,Delhi,5.2605,76.56,21–30,2026-01
LOAN100279,Divya Bose,62,Male,Married,PhD,Delhi,Delhi,Freelancer,9.0,275984,15262,Business Loan,2124030,84,621,0.429,5,1,Parental,No,0,No,3.7,7,252666,medium,Approved,14.22,2026-01-25,Pune,0.1299,16.56,51–64,2026-01
LOAN100280,Sneha Shah,62,Female,Single,Master's,Nagpur,Maharashtra,Business Owner,6.0,2911024,164284,Education Loan,1312154,36,668,0.499,3,0,Company Provided,Yes,1208892,No,6.3,6,4927344,medium,Approved,13.64,2026-04-30,Hyderabad,2.2185,29.99,51–64,2026-04
LOAN100281,Rohan Reddy,48,Female,Single,PhD,Surat,Gujarat,Business Owner,17.3,2131164,69382,Personal Loan,333346,36,800,0.161,0,0,Rented,No,0,No,6.8,1,2246154,low,Approved,9.3,2026-02-03,Mumbai,6.3932,32.37,41–50,2026-02
LOAN100282,Lata Bose,28,Female,Single,High School,Rajkot,Gujarat,Unemployed,0.0,16963,866,Personal Loan,386039,36,705,0.591,1,1,Owned,Yes,499721,Yes,12.9,2,9207,medium,Rejected,0.0,2026-04-04,Chennai,0.0439,10.63,21–30,2026-04
LOAN100283,Rajesh Rao,39,Female,Married,High School,Kolkata,West Bengal,Business Owner,15.4,2473261,131791,Car Loan,712209,60,750,0.348,2,0,Company Provided,Yes,619269,No,19.3,1,171726,low,Approved,11.24,2026-01-03,Hyderabad,3.4727,1.3,31–40,2026-01
LOAN100284,Suresh Pillai,25,Female,Married,Diploma,Vadodara,Gujarat,Business Owner,7.8,2542871,131531,Business Loan,4716608,36,650,0.284,1,0,Company Provided,Yes,4583674,No,22.5,3,7267346,medium,Approved,12.92,2025-12-23,Hyderabad,0.5391,55.25,21–30,2025-12
LOAN100285,Rahul Mishra,37,Male,Widowed,High School,Surat,Gujarat,Salaried,14.5,831398,31683,Education Loan,698501,36,477,0.747,5,3,Owned,Yes,600253,Yes,22.6,2,183355,high,Rejected,0.0,2025-11-24,Ahmedabad,1.1903,5.79,31–40,2025-11
LOAN100286,Karan Pillai,45,Other,Married,Master's,Hyderabad,Telangana,Freelancer,14.6,495688,19764,Education Loan,1457404,240,509,0.793,2,3,Rented,Yes,1173984,No,17.6,6,1322813,high,Rejected,0.0,2025-11-19,Pune,0.3401,66.93,41–50,2025-11
LOAN100287,Sanjay Malhotra,59,Female,Married,High School,Nagpur,Maharashtra,Self-Employed,7.0,910387,38286,Personal Loan,272375,24,718,0.113,0,0,Parental,Yes,385659,No,19.0,0,475295,low,Approved,10.71,2026-04-27,Ahmedabad,3.3424,12.41,51–64,2026-04
LOAN100288,Sanjay Rao,58,Male,Single,High School,Ahmedabad,Gujarat,Self-Employed,2.7,265030,10590,Personal Loan,237599,120,675,0.645,2,1,Owned,No,0,No,8.8,6,197841,medium,Rejected,0.0,2025-12-07,Chennai,1.1155,18.68,51–64,2025-12
LOAN100289,Sanjay Joshi,57,Male,Divorced,PhD,Jaipur,Rajasthan,Business Owner,16.4,2454294,109000,Personal Loan,195692,60,796,0.333,0,0,Parental,Yes,254408,No,2.9,3,5275110,low,Approved,10.25,2026-01-19,Delhi,12.5416,48.4,51–64,2026-01
LOAN100290,Sunita Pillai,24,Female,Widowed,Bachelor's,Kolkata,West Bengal,Salaried,9.8,495933,22057,Home Loan,3601915,120,740,0.411,0,0,Company Provided,No,0,No,17.4,0,1411459,low,Approved,11.75,2026-01-18,Bangalore,0.1377,63.99,21–30,2026-01
LOAN100291,Manoj Mehta,64,Female,Widowed,High School,Nagpur,Maharashtra,Self-Employed,9.4,1040269,51891,Business Loan,4182814,36,472,0.618,3,1,Parental,Yes,4895560,Yes,15.2,7,1305983,high,Rejected,0.0,2026-04-04,Hyderabad,0.2487,25.17,51–64,2026-04
LOAN100292,Riya Sharma,23,Male,Married,PhD,Mumbai,Maharashtra,Unemployed,0.0,70406,2749,Personal Loan,407982,12,580,0.459,2,0,Parental,Yes,412992,No,5.8,3,173650,medium,Approved,15.2,2025-12-30,Mumbai,0.1726,63.17,21–30,2025-12
LOAN100293,Anil Reddy,54,Female,Widowed,PhD,Kolkata,West Bengal,Salaried,1.4,730919,21508,Business Loan,3567808,84,771,0.124,2,0,Rented,Yes,4267222,No,19.2,5,1475214,low,Approved,9.7,2026-03-27,Hyderabad,0.2049,68.59,51–64,2026-03
LOAN100294,Geeta Nair,36,Other,Single,Diploma,Hyderabad,Telangana,Salaried,18.1,566784,27530,Business Loan,3692612,120,712,0.405,2,1,Parental,Yes,5254698,Yes,16.3,5,170714,medium,Approved,12.29,2025-11-27,Mumbai,0.1535,6.2,31–40,2025-11
LOAN100295,Lata Malhotra,37,Male,Single,Bachelor's,Surat,Gujarat,Unemployed,0.0,36029,1845,Business Loan,4658898,48,687,0.55,4,1,Rented,No,0,No,2.6,3,58509,medium,Rejected,0.0,2026-02-11,Pune,0.0077,31.71,31–40,2026-02
LOAN100296,Aarav Pillai,50,Female,Widowed,Bachelor's,Ahmedabad,Gujarat,Unemployed,0.0,37990,1065,Home Loan,3986420,180,629,0.595,5,1,Owned,No,0,Yes,7.5,5,22371,medium,Under Review,0.0,2026-04-12,Bangalore,0.0095,21.01,41–50,2026-04
LOAN100297,Ananya Iyer,52,Female,Single,Bachelor's,Delhi,Delhi,Business Owner,19.2,1216913,36201,Education Loan,2012174,36,783,0.121,0,0,Parental,No,0,No,9.7,4,3032348,low,Approved,9.45,2026-04-04,Mumbai,0.6048,83.76,51–64,2026-04
LOAN100298,Rahul Bose,22,Other,Widowed,High School,Pune,Maharashtra,Self-Employed,15.2,1034764,42569,Car Loan,1473042,48,727,0.273,0,0,Company Provided,Yes,1456103,Yes,22.9,4,108585,low,Approved,11.33,2025-12-14,Delhi,0.7025,2.55,21–30,2025-12
LOAN100299,Rekha Verma,21,Female,Married,Diploma,Mumbai,Maharashtra,Self-Employed,8.4,579005,24849,Business Loan,1814804,36,491,0.537,3,3,Company Provided,Yes,2087573,No,1.5,3,1416998,high,Rejected,0.0,2025-11-27,Ahmedabad,0.319,57.02,21–30,2025-11
LOAN100300,Sunita Mishra,57,Female,Married,PhD,Jaipur,Rajasthan,Self-Employed,9.9,515718,27344,Home Loan,7625515,12,560,0.82,4,2,Parental,No,0,Yes,4.5,3,838332,high,Rejected,0.0,2026-04-17,Ahmedabad,0.0676,30.66,51–64,2026-04
LOAN100301,Sanjay Reddy,38,Other,Divorced,Bachelor's,Chennai,Tamil Nadu,Salaried,14.6,865297,49888,Education Loan,467642,24,716,0.582,5,0,Company Provided,No,0,No,6.5,5,2552552,medium,Rejected,0.0,2026-02-06,Chennai,1.8503,51.17,31–40,2026-02
LOAN100302,Aarav Sharma,34,Other,Married,Master's,Lucknow,Uttar Pradesh,Freelancer,14.0,636546,27706,Business Loan,5274311,84,571,0.407,1,3,Company Provided,Yes,6467100,No,13.7,4,1510237,high,Rejected,0.0,2025-11-19,Delhi,0.1207,54.51,31–40,2025-11
